hero_id	battle_title	display_name	internal_name	category	is_main_config	placeholder	related_hero_id	related_from_hero_ids	deprecated	playable_now	names_differ
1000001	土御门胡桃	土御门胡桃	onmyoji	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000003	宁红夜	宁红夜	blindswordswoman	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000004	迦南	迦南	desertassassin	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000005	特木尔	特木尔	wolfman	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000006	季沧海	季沧海	spiritsman	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000007	天海	天海	monk	NAMED_MAIN_CONFIG	true	false	1000008	[]	false	null	false
1000008	伏魔金刚	大佛	foxiang	RELATED_NON_MAIN_FORM	false	false	0	[1000007]	false	null	true
1000009	妖刀姬	妖刀姬	yaodaoji	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000010	崔三娘	崔三娘	cuisanniang	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000011	岳山	岳山	yueshan	NAMED_MAIN_CONFIG	true	false	1000012	[]	false	null	false
1000012	神将	将军俑	shenjiang	RELATED_NON_MAIN_FORM	false	false	0	[1000011]	false	null	true
1000013	无尘	无尘	wuchen	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000014	藤鬼	藤鬼	zombie	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000015	顾清寒	顾清寒	guqinghan	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000016	武田信忠	武田信忠	takeda	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000017	殷紫萍	殷紫萍	yinziping	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000018	沈妙	沈妙	shenmiao	NAMED_MAIN_CONFIG	true	false	1000019	[]	false	null	false
1000019	铁卫	铁卫	mech	RELATED_NON_MAIN_FORM	false	false	0	[1000018]	false	null	false
1000020	胡为	胡为	huwei	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000021	季莹莹	季莹莹	jiyingying	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000022	玉玲珑	玉玲珑	yulinglong	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000023	哈迪	哈迪	hadi	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000024	魏轻	魏轻	weiqing	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000025	刘炼	刘炼	liulian	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000026	张起灵	张起灵	zhangqiling	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000027	席拉	席拉	xila	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000028	蓝梦	蓝梦	lanmeng	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000029	万钧	万钧	wanjun	NAMED_MAIN_CONFIG	true	false	1000030	[]	false	null	false
1000030	雷主	雷主	realbody	RELATED_NON_MAIN_FORM	false	false	0	[1000029]	false	null	false
1000031	李寻欢	李寻欢	lixunhuan	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000032	巫真	巫真	wuzhen	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000033	甘璇	甘璇	ganxuan	NAMED_MAIN_CONFIG	true	false	0	[]	false	null	false
1000034	【占坑】S23_Hero	【占坑】S23_Hero	huangsui	PLACEHOLDER	true	true	0	[]	false	null	false
1000070	【占坑】S21_02_Hero	【占坑】S21_02_Hero	shenzhen	PLACEHOLDER	true	true	0	[]	false	null	false
1000071	【占坑】S23_02_Hero	【占坑】S23_02_Hero	fangnuo	PLACEHOLDER	true	true	0	[]	false	null	false
1000072	【占坑】S22_Hero	【占坑】S22_Hero	taotie	PLACEHOLDER	true	true	0	[]	false	null	false
1000073	【占坑】S21_Hero	【占坑】S21_Hero	yexiu	PLACEHOLDER	true	true	0	[]	false	null	false
