state_name	tag	layer	hero_id	action_hash	association_status
attack_1000	dinner_attack	0	null	null	UNRESOLVED
attack_1000_charge	dinner_attack_charge	0	null	null	UNRESOLVED
attack_1000_prepare	dinner_attack_prepare	0	null	null	UNRESOLVED
attack_1000_recover	dinner_attack_recover	0	null	null	UNRESOLVED
attack_1001	dinner_attack	0	null	null	UNRESOLVED
attack_1001_charge	dinner_attack_charge	0	null	null	UNRESOLVED
attack_1001_prepare	dinner_attack_prepare	0	null	null	UNRESOLVED
attack_1001_recover	dinner_attack_recover	0	null	null	UNRESOLVED
attack_1002	dinner_attack	0	null	null	UNRESOLVED
attack_1002_charge	dinner_attack_charge	0	null	null	UNRESOLVED
attack_1002_prepare	dinner_attack_prepare	0	null	null	UNRESOLVED
attack_1002_recover	dinner_attack_recover	0	null	null	UNRESOLVED
attack_1003	dinner_attack	0	null	null	UNRESOLVED
attack_1003_charge	dinner_attack_charge	0	null	null	UNRESOLVED
attack_1003_prepare	dinner_attack_prepare	0	null	null	UNRESOLVED
attack_1003_recover	dinner_attack_recover	0	null	null	UNRESOLVED
attack_1004	dinner_attack	0	null	null	UNRESOLVED
attack_1004_charge	dinner_attack_charge	0	null	null	UNRESOLVED
attack_1004_prepare	dinner_attack_prepare	0	null	null	UNRESOLVED
attack_1004_recover	dinner_attack_recover	0	null	null	UNRESOLVED
attack_1005	dinner_attack	0	null	null	UNRESOLVED
attack_1005_charge	dinner_attack_charge	0	null	null	UNRESOLVED
attack_1005_prepare	dinner_attack_prepare	0	null	null	UNRESOLVED
attack_1005_recover	dinner_attack_recover	0	null	null	UNRESOLVED
attack_1006	dinner_attack	0	null	null	UNRESOLVED
attack_1006_charge	dinner_attack_charge	0	null	null	UNRESOLVED
attack_1006_prepare	dinner_attack_prepare	0	null	null	UNRESOLVED
attack_1006_recover	dinner_attack_recover	0	null	null	UNRESOLVED
attack_1007	dinner_attack	0	null	null	UNRESOLVED
attack_1007_charge	dinner_attack_charge	0	null	null	UNRESOLVED
attack_1007_prepare	dinner_attack_prepare	0	null	null	UNRESOLVED
attack_1007_recover	dinner_attack_recover	0	null	null	UNRESOLVED
attack_1008	dinner_attack	0	null	null	UNRESOLVED
