hero_id	source_table	source_field	mapping_id	mapping_name	status
1000001	HeroConfig_HeroBattleConfig.tsv	_HeroMappingID	0	null	NO_OVERRIDE
1000001	HeroConfig_HeroBattleConfig.tsv	_EmoteMappingID	3130038	hero_1_emote_player	FOUND
1000001	HeroConfig_HeroBattleConfig.tsv	_StandbyMappingID	3138089	dinner_3dlobby_onmyoji_standby_player	FOUND
1000001	HeroConfig_HeroBattleConfig.tsv	_SoulMapping	3130019	dinner_soul_female_player	FOUND
1000001	HeroFashion_HeroFashion.tsv	_UIHeroMappingID	3130074	ui_hero_onmyoji	FOUND
1000001	HeroFashion_HeroFashion.tsv	_UIHeroEmoteFaceMappingID	3134001	ui_hero_onmyoji_emote_face	FOUND
1000001	HeroFashion_HeroFashion.tsv	_UIHeroEnEmoteFaceMappingID	3135006	ui_hero_onmyoji_en_emote_face	FOUND
1000001	HeroFashion_HeroFashion.tsv	_UIHeroKrEmoteFaceMappingID	3135206	ui_hero_onmyoji_kr_emote_face	FOUND
1000001	HeroFashion_HeroFashion.tsv	_UIHeroJpEmoteFaceMappingID	3135106	ui_hero_onmyoji_jp_emote_face	FOUND
1000001	HeroFashion_HeroFashion.tsv	_UIHeroThEmoteFaceMappingID	3135006	ui_hero_onmyoji_en_emote_face	FOUND
1000003	HeroConfig_HeroBattleConfig.tsv	_HeroMappingID	0	null	NO_OVERRIDE
1000003	HeroConfig_HeroBattleConfig.tsv	_EmoteMappingID	3130039	hero_2_emote_player	FOUND
1000003	HeroConfig_HeroBattleConfig.tsv	_StandbyMappingID	3138087	dinner_3dlobby_ninghongye_standby_player	FOUND
1000003	HeroConfig_HeroBattleConfig.tsv	_SoulMapping	3130019	dinner_soul_female_player	FOUND
1000003	HeroFashion_HeroFashion.tsv	_UIHeroMappingID	3130071	ui_hero_crimsonnight	FOUND
1000003	HeroFashion_HeroFashion.tsv	_UIHeroEmoteFaceMappingID	3134002	ui_hero_crimsonnight_emote_face	FOUND
1000003	HeroFashion_HeroFashion.tsv	_UIHeroEnEmoteFaceMappingID	3135001	ui_hero_crimsonnight_en_emote_face	FOUND
1000003	HeroFashion_HeroFashion.tsv	_UIHeroKrEmoteFaceMappingID	3135201	ui_hero_crimsonnight_kr_emote_face	FOUND
1000003	HeroFashion_HeroFashion.tsv	_UIHeroJpEmoteFaceMappingID	3135101	ui_hero_crimsonnight_jp_emote_face	FOUND
1000003	HeroFashion_HeroFashion.tsv	_UIHeroThEmoteFaceMappingID	3135001	ui_hero_crimsonnight_en_emote_face	FOUND
1000004	HeroConfig_HeroBattleConfig.tsv	_HeroMappingID	0	null	NO_OVERRIDE
1000004	HeroConfig_HeroBattleConfig.tsv	_EmoteMappingID	3130040	hero_3_emote_player	FOUND
1000004	HeroConfig_HeroBattleConfig.tsv	_StandbyMappingID	3138088	dinner_3dlobby_jianan_standby_player	FOUND
1000004	HeroConfig_HeroBattleConfig.tsv	_SoulMapping	3130019	dinner_soul_female_player	FOUND
1000004	HeroFashion_HeroFashion.tsv	_UIHeroMappingID	3130072	ui_hero_doomsdayeagle	FOUND
