hero_id	talent_id	skill_name	combo_graph	combo_mapping_id	combo_mapping_name	status	mapping_status	listed_in_hero_talent	related_hero_id	launch_config	deprecated
1000001	3470000	庇护	hero_onmyoji_ns_1_combo_graph	3130700	hero_onmyoji_ns_1_combo_player	FOUND	FOUND	true	1000001	true	false
1000001	3470001	庇护·增援	hero_onmyoji_ns_2_combo_graph	3130701	hero_onmyoji_ns_2_combo_player	FOUND	FOUND	true	1000001	true	false
1000001	3470002	庇护·守护	hero_onmyoji_ns_3_combo_graph	3130702	hero_onmyoji_ns_3_combo_player	FOUND	FOUND	true	1000001	true	false
1000001	3470003	净天地	hero_onmyoji_us_1_combo_graph	3130703	hero_onmyoji_us_1_combo_player	FOUND	FOUND	true	1000001	true	false
1000001	3470004	净天地·固甲	hero_onmyoji_us_2_combo_graph	3130704	hero_onmyoji_us_2_combo_player	FOUND	FOUND	true	1000001	true	false
1000001	3470005	净天地·急疗	hero_onmyoji_us_3_combo_graph	3130705	hero_onmyoji_us_3_combo_player	FOUND	FOUND	true	1000001	true	false
1000001	3472000	庇护·征神	hero_onmyoji_ns_pve_1_combo_graph	3130706	hero_onmyoji_ns_pve_1_combo_player	FOUND	FOUND	false	1000001	true	false
1000001	3472001	净天地·征神	hero_onmyoji_us_pve_1_combo_graph	3130707	hero_onmyoji_us_pve_1_combo_player	FOUND	FOUND	false	1000001	true	false
1000001	3472002	净天地·征神	hero_onmyoji_us_pve_2_combo_graph	3130708	hero_onmyoji_us_pve_2_combo_player	FOUND	FOUND	false	1000001	true	false
1000001	3472003	庇护·征神	hero_onmyoji_ns_pve_2_combo_graph	3131681	hero_onmyoji_ns_pve_2_combo_player	FOUND	FOUND	false	1000001	true	false
1000001	3474050	庇护	hero_onmyoji_ns_pvpve_1_combo_graph	3131757	hero_onmyoji_ns_pvpve_1_combo_player	FOUND	FOUND	false	1000001	true	false
1000003	3470006	血蛇胆	hero_blindswordswoman_ns_1_combo_graph	3130709	hero_blindswordswoman_ns_1_combo_player	FOUND	FOUND	false	1000003	true	false
1000003	3470007	血蛇胆·陷阱	hero_blindswordswoman_ns_2_combo_graph	3130710	hero_blindswordswoman_ns_2_combo_player	FOUND	FOUND	false	1000003	true	false
1000003	3470008	血蛇胆·毒雾	hero_blindswordswoman_ns_3_combo_graph	3130711	hero_blindswordswoman_ns_3_combo_player	FOUND	FOUND	false	1000003	true	false
1000003	3470009	赤练无明	hero_blindswordswoman_us_1_combo_graph	3130712	hero_blindswordswoman_us_1_combo_player	FOUND	FOUND	true	1000003	true	false
1000003	3470010	赤练无明·封印	hero_blindswordswoman_us_2_combo_graph	3130713	hero_blindswordswoman_us_2_combo_player	FOUND	FOUND	true	1000003	true	false
1000003	3470011	赤练无明·无拘	hero_blindswordswoman_us_3_combo_graph	3130714	hero_blindswordswoman_us_3_combo_player	FOUND	FOUND	true	1000003	true	false
1000003	3470040	昆仑诀	hero_blindswordswoman_ns_5_combo_graph	3130716	hero_blindswordswoman_ns_5_combo_player	FOUND	FOUND	true	1000003	true	false
1000003	3470041	昆仑诀·封	hero_blindswordswoman_ns_6_combo_graph	3130715	hero_blindswordswoman_ns_6_combo_player	FOUND	FOUND	true	1000003	true	false
1000003	3470042	昆仑诀·禁疗	hero_blindswordswoman_ns_4_combo_graph	3130717	hero_blindswordswoman_ns_4_combo_player	FOUND	FOUND	true	1000003	true	false
1000003	3470044	赤练无明·无拘	hero_blindswordswoman_us_soul_2_combo_graph	3135303	hero_blindswordswoman_us_soul_2_combo_player	FOUND	FOUND	false	1000003	true	false
1000003	3472030	昆仑诀·征神	hero_blindswordswoman_ns_pve_1_combo_graph	3130718	hero_blindswordswoman_ns_pve_1_combo_player	FOUND	FOUND	false	1000003	true	false
1000003	3472031	赤练无明·征神	hero_blindswordswoman_us_pve_1_combo_graph	3130719	hero_blindswordswoman_us_pve_1_combo_player	FOUND	FOUND	false	1000003	true	false
1000003	3472032	赤练无明·征神	hero_blindswordswoman_us_pve_2_combo_graph	3130720	hero_blindswordswoman_us_pve_2_combo_player	FOUND	FOUND	false	1000003	true	false
1000003	3473000	昆仑诀·斗球	hero_blindswordswoman_ns_tanqiu_1_combo_graph	3130930	hero_blindswordswoman_ns_tanqiu_1_combo_player	FOUND	FOUND	false	1000003	true	false
1000003	3474000	【占坑】【搜打撤储备，暂时弃用】昆仑诀·搜撤	hero_blindswordswoman_ns_pvpve_1_combo_graph	3131682	hero_blindswordswoman_ns_pvpve_1_combo_player	FOUND	FOUND	false	1000003	true	false
1000003	3474001	【占坑】【搜打撤储备，暂时弃用】赤练无明·搜撤	hero_blindswordswoman_us_pvpve_1_combo_graph	3131683	hero_blindswordswoman_us_pvpve_1_combo_player	FOUND	FOUND	false	1000003	true	false
1000003	3474002	赤练无明·无拘	hero_blindswordswoman_us_pvpve_2_combo_graph	3131768	hero_blindswordswoman_us_pvpve_2_combo_player	FOUND	FOUND	false	1000003	true	false
1000004	3470012	追魂	hero_desertassassin_ns_2_combo_graph	3130722	hero_desertassassin_ns_2_combo_player	FOUND	FOUND	true	1000004	true	false
